x_bin,y_bin,batch_start_t
0,36,22760000
0,37,22760000
0,38,22760000
0,39,22760000
0,40,22760000
0,41,22760000
1,36,22760000
1,37,22760000
1,38,22760000
1,39,22760000
1,40,22760000
1,41,22760000
2,36,22760000
2,37,22760000
2,38,22760000
2,39,22760000
2,40,22760000
2,41,22760000
3,36,22760000
3,37,22760000
3,38,22760000
3,39,22760000
3,40,22760000
3,41,22760000
4,36,22760000
4,37,22760000
4,38,22760000
4,39,22760000
4,40,22760000
4,41,22760000
5,36,22760000
5,37,22760000
5,38,22760000
5,39,22760000
5,40,22760000
5,41,22760000
6,36,22760000
6,37,22760000
6,38,22760000
6,39,22760000
6,40,22760000
6,41,22760000
7,35,22760000
7,36,22760000
7,37,22760000
7,38,22760000
7,39,22760000
7,40,22760000
7,41,22760000
8,35,22760000
8,36,22760000
8,37,22760000
8,38,22760000
8,39,22760000
8,40,22760000
9,35,22760000
9,36,22760000
9,37,22760000
9,38,22760000
9,39,22760000
9,40,22760000
10,35,22760000
10,36,22760000
10,37,22760000
10,38,22760000
10,39,22760000
10,40,22760000
11,35,22760000
11,36,22760000
11,37,22760000
11,38,22760000
11,39,22760000
11,40,22760000
12,35,22760000
12,36,22760000
12,37,22760000
12,38,22760000
12,39,22760000
12,40,22760000
13,35,22760000
13,36,22760000
13,37,22760000
13,38,22760000
13,39,22760000
13,40,22760000
14,35,22760000
14,36,22760000
14,37,22760000
14,38,22760000
14,39,22760000
14,40,22760000
15,35,22760000
15,36,22760000
15,37,22760000
15,38,22760000
15,39,22760000
15,40,22760000
16,35,22760000
16,36,22760000
16,37,22760000
16,38,22760000
16,39,22760000
16,40,22760000
17,35,22760000
17,36,22760000
17,37,22760000
17,38,22760000
17,39,22760000
17,40,22760000
18,35,22760000
18,36,22760000
18,37,22760000
18,38,22760000
18,39,22760000
19,35,22760000
19,36,22760000
19,37,22760000
19,38,22760000
19,39,22760000
20,35,22760000
20,36,22760000
20,37,22760000
20,38,22760000
20,39,22760000
21,35,22760000
21,36,22760000
21,37,22760000
21,38,22760000
21,39,22760000
22,35,22760000
22,36,22760000
22,37,22760000
22,38,22760000
22,39,22760000
23,35,22760000
23,36,22760000
23,37,22760000
23,38,22760000
24,36,22760000
24,37,22760000
24,38,22760000
25,36,22760000
25,37,22760000
25,38,22760000
26,36,22760000
26,37,22760000
26,38,22760000
0,39,22770016
